procedure_code,procedure_description,benefit_group
pcd4235,Ovarectomy/ovarian cysts,surgeries
drg1806,EMPROFEN 400MG per sat,non-chronic medications
diag030,CT Angio Abdomen and Pelvis,advanced and complex investigations
drg1037,ADALAT CR 30MG TABS X28,non-chronic medications
drg2369,METRONIDAZOLE 200MG/5MLS SYRUP,non-chronic medications
sur0058,Conversion Of Hemiarthroplasty To Total Shoulder Replacement,surgeries
diag118,CT Thoracic / Dorsal Spine,advanced and complex investigations
drg2135,IMMUNACE TAB,non-chronic medications
drg2409,MONTRAL 10MG TABS X10,non-chronic medications
drg2602,ORGANIC HEALTH VIT C 500MG CHEWABLE * 50,non-chronic medications
sur0010,Arthroscopic Sub-Acromial Decompression As Sole Procedure,surgeries
dent136,Lip Repair,surgeries
pcd644,Aortogram,surgeries
med0318,Tab. ACT 80/480,clinical pathology
x-0007,X-RAY THORACOLUMBAR VERTEBRAE AP/LAT,x-rays and contrast studies
med0484,CO-MEPIRYL 2MG/1000MG,chronic medication
drg4810,STREPTOMYCIN 5GM INJECTION,non-chronic medications
sur0067,Cryotherapy To Pituitary Gland,cancer care
med0159,ZING C (VIT. C),non-chronic medications
diag1139,EBV(NA) -IgG Antibodies to Nuclear Antigen of Epstein Barr Virus (EBNA) -  [Serum],clinical pathology
diag530,Anti HAV - IgM Antibody to Hepatitis A Virus -  [Serum],clinical pathology
drg2007,GENEVIN,chronic medication
diag841,Alpha 2 Macroglobulin [Serum],clinical pathology
drg4464,Jawaclox drops 90mg/0.6ml,non-chronic medications
pcd698,Sulcoplasty - With Skin Graft,surgeries
drg2322,MARCNOL 10/5MG TABS X30,chronic medication
sur0138,REMOVAL OF FOREIGN BODY UNDER ANAESTHESIA,surgeries
adm0006,Accommodation - Four Bedded room,accomodation
pcd76,Liver Lobectomy (Right Or Left),surgeries
drg1126,AMOKSIKLAV 312.5MG/5ML,non-chronic medications
sur0081,Destruction Of Branch Of Trigeminal Nerve (Neurolytic/Rf/Cryoprobe),surgeries
drg2774,PURITAN VIT E 400IU * 100,non-chronic medications
pcd4089,CVF,clinical pathology
drg1020,ACERID Rabeprazole 20mg X30,non-chronic medications
diag038,CT BRAIN  CERVICAL SPINE,advanced and complex investigations
drg3320,MIXTARD (INSULIN) 40IU/ML,chronic medication
drg1670,DALACIN C 300MG CAPS X16,non-chronic medications
drg2545,NUROFEN TAB 400mg X 12,non-chronic medications
diag1151,Endomysial Antibody IgG antibody - [Serum],clinical pathology
drg1733,DIGOXIN 250MCG TABS X28,chronic medication
out0145,Endometrial cuttelage,dentistry
diag730,Microscopy/ Culture and Sensitivity for Aerobic/ Anaerobic Bacteria [Any Sample],clinical pathology
out0008,ULTRASOUND THERAPY,surgeries
drg1202,ARTHEGET SYRUP (ACT ANTIMALARIAL,non-chronic medications
drg1108,AMLODIPINE 10MG [pocco),chronic medication
drg1160,ANOROL TABLET,non-chronic medications
drg2615,OSTEOCARE PLUS,non-chronic medications
med0464,AMLODIPINE 10MG (POCCO),chronic medication
drg5007,FLUNIL,chronic medication
pcd28,Haemorrhoidectomy Including Sigmoidoscopy,surgeries
pcd36,Sigmoidoscopy Including Consultation,surgeries
drg2816,REKMAL ARTESUNATE 120MG INJECTION,non-chronic medications
pcd4123,Exchange Blood Transfusion (Rh Ve Blood With Set),emergency/critical care
pcd4124,Exchange Blood Transfusion (Rh -Ve Blood With Set),emergency/critical care
drg2136,Immun-Activ Vit c,non-chronic medications
cli0034,Anterior ( /- Posterior) Colporrhaphy With Vaginal Hysterectomy (Including Primary Repair Of Enterocele),surgeries
drg4995,ZOPICLONE 7.5 MG,non-chronic medications
drg1941,FLEMING 1.2G INJ,non-chronic medications
diag1672,Coomb's test (Direct) or Direct antiglobulin test (DAT) -  [EDTA -Blood],clinical pathology
drg1275,AZATHIOPRINE 50MG *56 TILLOMED,chronic medication
drg4541,Melatonin (Mason) 5mg x60,non-chronic medications
med0362,GLIMEPIRIDE 4MG GENERIC,chronic medication
diag1645,Y Chromosome Microdeletion Analysis 16 STS Markers (only for males) - [EDTA Blood],clinical pathology
drg2500,NILGAR 30MG PER SATCHET,chronic medication
cli0119,CT POST NASAL SPACE,x-rays and contrast studies
pcd363,Retinal Detachment Repair by Pneumatic Retinopexy,surgeries
oph0014,Foreign Body Removal-Superficial,surgeries
pcd676,Removal Of Foreign Body From Antrum Via Alveolus,surgeries
diag791,ACE-Angiotensin Converting Enzyme -  [Serum],clinical pathology
diag181,Oesophago-gastro-duodenoscopy (OGD),surgeries
drg4386,HUMAN ALBUMIN 20MG INFUSION,non-chronic medications
sur0066,Creation Of Portocaval Shunt,clinical pathology
drg4443,IPRATROPIUM 250MCG NEBULES,chronic medication
drg2167,Jawaron tonic 100ml,non-chronic medications
diag915,Beta HCG  Quantitative,clinical pathology
pcd162,Biopsy of Tongue,surgeries
sur0083,"Diagnostic Arthroscopic Examination Of Shoulder Joint, With Or Without Biopsy (As Sole Procedure)",surgeries
sur0084,"Diagnostic Arthroscopic Examination Of Wrist Joint, With Or Without Biopsy (As Sole Procedure)",surgeries
drg1943,fleming 457 sus,non-chronic medications
drg1358,BioSea cod liver oil 170ml,non-chronic medications
drg1359,BioSea Cod Liver oil 220ml,non-chronic medications
drg2671,PHARM EYE ANTIOXIDANT BLISTER * 360,non-chronic medications
cons054,Plastic Surgeon Review,consultation specialist
sur0117,Recircumcision (Local),neonatal services
drg4030,ALBENDAZOLE INJECTION 400MG,non-chronic medications
diag1237,Hepatitis Delta virus(HDV) HDV-RNA detection by PCR - [EDTA Plasma],clinical pathology
diag790,ACE Angiotensin Converting Enzyme [CSF],clinical pathology
drg1186,ARBITEL H 40/12.5MG * 30 TABS,chronic medication
drg4369,HBV,hiv/aids care and treatment
diag1941,XRAY Both Hand (LAT),x-rays and contrast studies
sur0173,osteoclasis orif and bone grafting,surgeries
sur0174,osteoclasis orif and bone grafting,surgeries
drg3169,Virest 200mg,non-chronic medications
sur0027,Bony Meatoplasty,surgeries
diag1072,CMV DNA detection by Real time PCR - [Urine],advanced and complex investigations
diag1616,Typhoid DNA By Real time PCR - [EDTA Blood],advanced and complex investigations
drg4622,NICOSAN CHILD 150MG,non-chronic medications
pcd350,Excision of Conjunctival Lesion with Cryotherapy,cancer care
diag082,CT Lower Abdomen and Pelvis,advanced and complex investigations
diag1753,MRI Lower Abdomen and Pelvis,advanced and complex investigations
diag1315,Immunofixation-quantitative - [Serum],clinical pathology
drg1945,FLEMING SUSPENSION 228,accomodation
drg2941,Clarithromyin Susp 250mg,non-chronic medications
diag465,Complex Biopsy  Fungi studies,non-chronic medications
diag1215,Haptoglobin Genotype - [EDTA Blood],clinical pathology
pcd586,Extensor Tendon Repair - Finger,surgeries
pcd251,"Repair of Enterocele, Vaginal Approach",surgeries
pcd585,Extensor Tendon Repair - Hand,surgeries
drg2624,OXYTOCIN INJ 10 UNIT,non-chronic medications
opt164,Vita Procin,non-chronic medications
diag1313,Immunofixation-qualitative - [Serum],clinical pathology
drg2668,PERILON PREDINIZOLONE (SA,non-chronic medications
drg1467,CASTOR OIL B.,non-chronic medications
drg2168,JAWARON TONIC 200ML,non-chronic medications
diag1031,CD-MPO (Myeloid cell  marker) -  [EDTA Blood],cancer care
diag1370,Leptospira DNA detection by PCR - [Urine],clinical pathology
med0089,CETiRIZINE 5MG,non-chronic medications
diag1986,XRAY Finger AP View,x-rays and contrast studies
diag1989,XRAY FOOT AP VIEW,x-rays and contrast studies
diag2000,XRAY Humerus Lat Oblique,x-rays and contrast studies
diag037,CT Brain  Carotid Angiography,advanced and complex investigations
diag821,AFB-detection of DNA by Real time PCR [Urine],advanced and complex investigations
diag1790,Iron sucrose injection,non-chronic medications
drg3126,ULGICID all flavour,non-chronic medications
pcd4324,Surgery Of Complications Of Appendicitis,surgeries
drg2552,Ocefix 200mg tab,non-chronic medications
diag547,CK-MB (MB fraction of Creatinine Kinase) -  [Serum],clinical pathology
pcd470,Revision Hip Replacement - Acetabular Only,surgeries
diag025,CT Abdomen and Pelvis Female,advanced and complex investigations
diag026,CT Abdomen and Pelvis Male,advanced and complex investigations
drg4922,VIAGRA 100MG SILDENAFIL,chronic medication
diag2006,XRAY Knee Skyline View,x-rays and contrast studies
diag820,AFB-detection of DNA by Real time PCR [Tissue],advanced and complex investigations
drg2667,PERGLIM 4MG TABLETS (SACHET),chronic medication
drg1083,AMATEM SOFTGEL BY 12,non-chronic medications
drg1276,AZILIDE TABS 500MG BY 6,clinical pathology
diag1834,HMO Lung Function Test,selective health screening
diag839,Alpha 1 Antitrypsin [Serum],clinical pathology
diag718,Fungal Susceptibility and  MIC panel - 4 drugs (Automated) -  [Pure culture],clinical pathology
diag819,AFB-detection of DNA by Real time PCR [CSF],advanced and complex investigations
diag816,Adrenaline (Epinephrine) [EDTA Plasma],clinical pathology
drg2537,NOVO TWIST NEEDLES (5MM),chronic medication
cons058,Radiologist Review,consultation specialist
diag1990,X ray Foot AP View,x-rays and contrast studies
sur0131,HIGH ABOVE KNEE POP,surgeries
pcd300,Removal of Intrauterine Device IUCD,family planning services
diag2121,XRAY Sacroiliac Joint AP View,x-rays and contrast studies
ann0036,Asaba Airport Company Screening,selective health screening
drg4098,ATRACURIUM 50MG 5ML,non-chronic medications
diag1727,MRI Brachial Plexus,advanced and complex investigations
pcd677,Removal Of Foreign Body From Antrum Via Caldwell Luc,surgeries
drg2318,MANIX CAPSULES,non-chronic medications
diag1070,CMV DNA detection by Real time PCR - [EDTA Plasma],advanced and complex investigations
pcd202,Nephrectomy - Simple,surgeries
pcd230,Meatoplasty (Urethra),surgeries
diag1634,Vitamin C Ascorbic acid - [Heparin Plasma/Serum],audiology
drg2915,SERETIDE DISKUS 100MCG,chronic medication
drg1273,Ayrtons Pure cod liver oil,non-chronic medications
pcd361,Repair Of Detached Retina - Cryotherapy Or Diathermy,cancer care
diag1117,Dengue RNA detection by Real time PCR - [EDTA Plasma],advanced and complex investigations
drg2291,LOSARTAN POTASSIUM 25MG (TEVA),chronic medication
med0359,GLIMEPIRIDE 8MG GENERIC,chronic medication
drg2778,PURITANS PRIDE ZINC 50MG X100,non-chronic medications
diag868,Anti HDV-Total antibodies to Hepatitis Delta Virus -  [Serum],clinical pathology
drg2202,LABET 200 ( LABETOLOL 200MG) X 30 satchet,chronic medication
diag1262,HIV-2 RNA detection by real time PCR -[EDTA Plasma],advanced and complex investigations
drg2771,Puritan pride VitC 1000MG X100,non-chronic medications
diag290,POST COITAL TEST,infertility treatment-investigations
diag818,AFB-detection of DNA by Real time PCR [Body Fluid],advanced and complex investigations
drg1180,APROVEL 150mg per satchet,non-chronic medications
drg2828,TUXILD SYR CHILD,non-chronic medications
con123,PULMUNOLOGIST,consultation specialist
pcd8,Core biopsy of breast,surgeries
drg1357,BIOSEA COD LIVER OIL 120ML,non-chronic medications
diag2093,XRAY Right Hand (AP),x-rays and contrast studies
diag2094,XRAY Right Hand (LAT),x-rays and contrast studies
dent116,Splinting with Composite ( Per Tooth),dentistry
drg4694,PHENYRAMIDOL HCL TABLET 400MG,non-chronic medications
drg2463,Naturesfield vitamin B complex x 100,non-chronic medications
med0226,ARTESUNATE INJECTION 30MG,non-chronic medications
diag2020,XRAY Left Hand (AP),x-rays and contrast studies
diag2021,XRAY Left Hand (LAT),x-rays and contrast studies
drg2836,RELOPOIETIN 4000 I.U INJECTION,non-chronic medications
drg1944,Fleming 457mg/5ml suspension,accomodation
drg4162,CHLORPROMAZINE 25MG TABLET,chronic medication
med0510,METHYLDOPA 250MG (KETTA),chronic medication
drg4303,Febuxostat (Febo-G) 80mg x20,non-chronic medications
diag529,AFP-Alpha Feto Protein -  [Tissue],clinical pathology
drg1211,ARTHROTEC (DICLOFENAC and MISOPROSTOL),non-chronic medications
diag1957,XRAY Calcaneus AP/LAT,x-rays and contrast studies
drg1360,BIOWELL VIT C CHEWABLE X60,non-chronic medications
diag1294,HSV-Herpes Simplex Virus DNA detector by real time PCR,advanced and complex investigations
pcd627,Femoral Endarterectomy with Patch Closure,surgeries
drg1369,BLUESEA COD LIVER OIL CAPS 300MG,non-chronic medications
diag1535,"Rubella (German Measles), Avidity test -  [Serum]",clinical pathology
diag024,CT Abdomen and Pelvis - Specialized Procedure,advanced and complex investigations
drg1105,Amlodipine 10mg (Almus),chronic medication
drg2447,Nature field Vit C1000mg X100,non-chronic medications
pcd203,Nephrectomy - Partial,surgeries
pcd204,Nephrectomy - Radical,surgeries
pcd282,Twin Delivery- Normal delivery,maternity
pcd602,Proximal Row Carpectomy removal of bones,surgeries
sur0064,Creation Of Arteriovenous Shunt (Synthetic Graft),clinical pathology
drg1815,EM-VIT C CHEWABLE SATCHET,non-chronic medications
pcd259,Cone Biopsy with Laser Ablation of the Cervix,surgeries
drg2462,NATURES FIELD ZINC 50MG X 100,non-chronic medications
diag483,Manual Removal of Placenta/Foetus,maternity
diag527,AFP-Alpha Feto Protein -  [CSF],clinical pathology
med0333,Dazel Kit-Azithromycin 1g. Fluconazole 150mg,non-chronic medications
diag1369,Leptospira DNA detection by PCR-  [EDTA Blood],clinical pathology
pcd398,Complex Midfoot Correction - Unilateral,non-chronic medications
drg2222,LDNIL 5 (ROSUVASTATIN 5MG),chronic medication
diag1767,MRI Sacro iliac joints,advanced and complex investigations
diag354,Heroin,clinical pathology
drg1111,AMLODIPINE 5MG [pocco],chronic medication
drg1113,amlodipine 5mg milpharm,chronic medication
drg1912,FANSIDAR SYRUP,non-chronic medications
drg2004,Gaviscon syrup,non-chronic medications
med0465,AMLODIPINE 5MG (PHARMAMAX),chronic medication
diag1316,Immunofixation-quantitative - [Urine 24H],clinical pathology
pcd38,Sigmoidoscopy And Anal Fistula,surgeries
sur0065,Creation Of Peritoneo-Venous Shunt (Levine/Denver),clinical pathology
pcd467,Total Hip Joint Replacement,surgeries
diag1238,Hepatitis G Vius(HGV) HGV-RNA detection by PCR - [EDTA Plasma],clinical pathology
dent122,Anterior Jecket Crown (AJC),dentistry
pcd534,Removal Of External Fixation From Bone,surgeries
diag029,CT ANGIO - ABDOMINAL AORTA AND RUN OFF VESSEL,advanced and complex investigations
drg1842,EMZOR VIT C BY100 WHITE,non-chronic medications
med0366,SITAGLIPTIN 50MG GENERIC,chronic medication
diag1074,CMV-DNA Viral load (Quantitative test) -  [EDTA-Plasma],clinical pathology
drg2909,SELSUN SHAMPOO 100ML,non-chronic medications
pcd142,Endo Venous Laser Ablation of Varicose Veins,surgeries
diag1144,EGFR gene amplification FISH probe for EGFR Tumor Positive - [Tissue],dentistry
med0076,CLINDAMYCIN SUSPENSION,non-chronic medications
cli0100,HIV-2 Viral Load by real time PCR -[EDTA Plasma],clinical pathology
diag494,Histopathology - Complex specimen(s) - [Tissue],non-chronic medications
drg1256,AUGMENTIN 228MG/5ML SUSP,non-chronic medications
opt139,Slit Lamp Examination,ophthalmic care
diag1396,Lysine Quantitative - [Urine],clinical pathology
drg4383,HOVID LORATYN LORATADINE 10MG,non-chronic medications
diag065,CT Hand,advanced and complex investigations
drg4414,IBUPROFEN 100MG 5ML SUSP,non-chronic medications
diag1077,Cold Agglutinin - [Serum],clinical pathology
diag1286,Homogentisic Acid Alkaptonuria - [Urine],clinical pathology
sur0022,Biopsy Of Peripheral Nerve,surgeries
diag760,Throat Swab for  M/C/S,clinical pathology
drg1891,ETOVIT CAPGEL 200MG,non-chronic medications
drg1959,FLUCAMED EYE DROP,non-chronic medications
drg2768,PURITAN GARLIC 1000mg,non-chronic medications
drg3221,WELLKID OMEGA-3,non-chronic medications
drg3226,wellman  omega 3,non-chronic medications
drg2665,PERFECTIL Triple Active,physiotherapy
drg1429,calgovit vit c for kids 80g,non-chronic medications
drg1158,ANGIZAAR-50 SACHET,chronic medication
sur0118,Recircumcision   (G. A),neonatal services
out0074,FILLERS (CHARGE PER ML),clinical pathology
diag2115,XRAY Right Tibia and Fibula LAT,x-rays and contrast studies
drg2481,NEUROGESIC EXTRA B/S 35gm,non-chronic medications
drg2482,NEUROGESIC EXTRA s/s 25MG,non-chronic medications
diag1461,Organic Acids Quantitative(Random Urine),clinical pathology
drg2448,NATURE FIELD vitamin B-12,non-chronic medications
pcd4408,Appendicectomy Complicated ruptured,surgeries
drg2398,MOKO METHYLATED SPIRIT,non-chronic medications
out0081,STEAM BATH ALONE,spa session
pcd802,Exchange blood transfusion - babies,emergency/critical care
diag2103,XRAY Right Knee (LAT),x-rays and contrast studies
diag2008,XRAY Left  Knee (LAT),x-rays and contrast studies
med0567,"IPRATROBIUM NEBULES 2,5MG",chronic medication
sur0063,Creation Of Arteriovenous Fistula (Including Subsequent Closure),clinical pathology
drg3182,VITAMIN B COMPLEX * 100 (DR MEYER),non-chronic medications
pcd754,Maze Procedure - Thoracoscopic (Limited),surgeries
drg2480,NEUROGESIC CREAM 35g S/S,non-chronic medications
opt06,Anti Reflective on white plastic,medical appliances/consumables
drg2477,Neuracalm caps 75mg per sachet,non-chronic medications
pcd633,Common femoral Endarterectomy/Profundoplasty/- femoral angioplasty,surgeries
diag094,CT Para Nasal Sinuses (Limited),advanced and complex investigations
pcd368,Macular Hole Eye Surgery,surgeries
drg2575,OMEGA-H3 Blue per sach,non-chronic medications
drg2588,OPFEN DICLOFENAC EYE,chronic medication
drg1048,Africure cod liver oil 1000 satchet,non-chronic medications
drg1820,Emvite Multivitamin drops,non-chronic medications
drg4100,ATS 10000 IU ANTI TETANUS,selective health screening
drg4101,ATS 1500 IU ANTI TETANUS,selective health screening
diag242,eGFR -  Estimated Glomerular Filtration Rate –[Serum],surgeries
med0297,FINGER BRACE/SUPPORT,clinical pathology
med0230,Malathion,clinical pathology
drg2221,LDNIL 20 (ROSUVASTATIN) *30,chronic medication
diag338,Alcohol Test (Ethanol),clinical pathology
opt165,Vita Tears,non-chronic medications
opt94,Ivy Betaneocine Eye Drop,chronic medication
opt97,Ivy Zine Eye Drop,chronic medication
opt98,Ivy Zotan Eye Drop,chronic medication
drg4348,Gabapentin/Methylcobalamine(Agaba) 300/5,chronic medication
pcd229,Urethroplasty - Stage 1,surgeries
pcd266,Hysteroscopy And Removal Of Endometrial Polyp With DandC,surgeries
drg2342,MEDICUT CANNULAR 20G-PINK,medical appliances/consumables
diag1681,Hepatitis E Virus Antibodies (Screening),clinical pathology
drg4309,FENTANYL INJECTION 50MG PER 1ML,non-chronic medications
diag1095,"Cystic Fibrosis 5 mutations (Df508, G542X, G551D, R553X, 5T) - [EDTA Blood]",clinical pathology
diag097,CT Peripheral Angiography - Upper Extremity,advanced and complex investigations
dent75,Full / All Ceramic Crown,selective health screening
med0148,ACETYLSALICYLIC ACID 75MG (ASA),selective health screening
opt14,ARISTOMOL,non-chronic medications
drg4925,VIDAGLIPTIN METFORMIN 50 1000MG TAB,chronic medication
diag1207,GST Mutation Glutathione-S-Transferase -[EDTA Blood],clinical pathology
pcd186,Tympanoplasty (Myringoplasty Postaural Or Endaural),surgeries
drg1502,CEPOREX SYRUP 250MG/ML,non-chronic medications
diag1017,CD45 (Leucocyte Common Antigen) -  [EDTA-Blood],cancer care
diag972,CD10 (Prognostic ALL marker) -  [EDTA - Blood],cancer care
pcd159,Central Vein Catheterisation-Procedure Kit,intensive care unit
diag756,Swab for M/C/S (Any Swab),clinical pathology
drg2134,Immunace Extra Protection,clinical pathology
diag1314,Immunofixation-qualitative - [Urine 24 Hours],clinical pathology
drg4202,CODLIVER OMEGA 3 TAB,non-chronic medications
bio0018,ANAL SWAB MCS,clinical pathology
pcd577,"Lumbar Spinal Stenosis Decompression, 1 Level",surgeries
drg1523,CHLOROQUINE 150MG TAB,non-chronic medications
diag1836,Spirometry/ Lung Function Test,selective health screening
med0293,NAPHAZOLINE EYE DROP,non-chronic medications
med0305,AUGMENTIN 600MG INJECTION,non-chronic medications
pcd4234,ORIF with Implant ORIF with Implant /OPEN REDUCTION AND INTERNAL FIXATION,surgeries
drg3147,VALSARTIL 80MG X 30,chronic medication
drg1123,AMOKSIKLAV 1.2MG INJECTION,non-chronic medications
diag1848,Sono Archilles Tendon,ultrasound
drg2525,NORVASC 10MG *100 SATCHET,chronic medication
diag096,CT Peripheral Angiography - Lower Extremity,advanced and complex investigations
diag934,BNP B Type Natriuretic Peptide [EDTA Plasma],clinical pathology
drg1047,AFRAB VITE SYRUP,non-chronic medications
drg4837,TELMISARTAN HCT 80/12.5MG TABLET,chronic medication
diag1451,Nor-Adrenaline (Nor-epinephrine) - [EDTA Plasma],clinical pathology
drg2801,RANFERON 12 100ml,non-chronic medications
drg2181,JUCOPAN Hyoscine,non-chronic medications
drg1166,ANTIRABIES INJECTION,non-chronic medications
pcd755,Maze Procedure - Thoracoscopic (Extensive),surgeries
pcd353,Penetrating Keratoplasty Or Similar,surgeries
pcd4402,cervical repair-Second Degree,surgeries
drg1929,Ferrotone caps satchet,non-chronic medications
pcd4326,Surgery Of Small/Large Bowel Perforations,surgeries
diag2141,XRAY Skull LAT - Pituitary Fossa,x-rays and contrast studies
diag249,Gamma GT (GGTP) -  [Serum],selective health screening
diag084,CT Mandible Bone,advanced and complex investigations
drg2579,Omeprazole 40mg teva,non-chronic medications
drg4137,CARBOCISTEINE 2PERCENT SYRUP,non-chronic medications
drg4138,CARBOCISTEINE 5PERCENT SYRUP,non-chronic medications
dent57,Dental Scaling And Polishing (Calculus ),dentistry
drg2840,RENERVE PLUS SATCHET,non-chronic medications
diag1851,Sono Foetal Anatomy,ultrasound
drg4685,PERSANTIN 200MG RETARD,chronic medication
diag247,Fasting Blood Sugar -[Plasma],clinical pathology
diag1551,Serotonin 5-Hydroxy Tryptamine - [Urine],chronic medication
drg4273,ENOXAPAPRIN INJ 20MG AMP,non-chronic medications
diag1429,Mucopolysaccharides (MPS) Screen Qualitative - [Urine Spot],clinical pathology
drg2417,MULTIVITE TAB,non-chronic medications
drg2614,OSTEOCARE CHEWABLE X 30CAPS,non-chronic medications
drg0709,Tab Hypomidd,non-chronic medications
diag1005,CD30 (Lymphoma cell marker) -  [EDTA-Blood],cancer care
diag1273,HLA DR (Activation marker)  -  [EDTA Blood],clinical pathology
diag706,"Culture, Helicobacter pylori - [Any Sample]",clinical pathology
diag1678,Helicobacter Pylori (Rapid test) -  [Serum],clinical pathology
pcd129,Bilateral Inguinal Herniotomies - Under 3 Years,surgeries
drg1620,CONCOR 2.5MG TABS X30,chronic medication
med0069,Routine Immunization (NPI),non-chronic medications
diag1658,Anti A titre -  [Serum],clinical pathology
drg4483,KLABAX SYR 125MG 5ML,non-chronic medications
cli0021,Amputation Of Cervix Uteri,surgeries
med0081,METHYLCELLULOSE EYE DROP,non-chronic medications
dent36,Dental Incision and Drainage,surgeries
drg2682,PICCAN,clinical pathology
drg4104,BACTIGRAS,clinical pathology
out0139,NAIL ART USING POLISH,selective health screening
diag1550,Serotonin 5-Hydroxy Tryptamine - [Serum],chronic medication
drg2383,MIST MAG TRISILICATE 200ML(FIDSON),non-chronic medications
pcd291,Open Ovarian Cystectomy - Bilateral,surgeries
out0048,MESOTHERAPY,cancer care
drg2345,MEDICUT CANNULAR 24G YELLOW,medical appliances/consumables
drg2343,MEDICUT CANNULAR 22G-BLUE,medical appliances/consumables
drg2344,MEDICUT CANNULAR 23G BLUE,medical appliances/consumables
drg1182,Aqua tears eye drops,non-chronic medications
drg4583,MISTMAG SUSP POLYFORT,non-chronic medications
cons084,PAEDIATRIC HEMATOLOGIST,consultation specialist
drg4838,Tempovate 25g,non-chronic medications
diag1575,Streptococcus group B Antigen detection- [Serum],clinical pathology
drg5019,SPERSADEX,non-chronic medications
drg1290,B-cor 5,non-chronic medications
med0312,amoxyl 100mg tab,non-chronic medications
diag858,Amino Levulinic Acid ALA - [Urine 24H],selective health screening
drg2174,JOINTACE OMEGA-3 WITH COD LIVER  OIL,non-chronic medications
drg2154,Ivybetaneocin eye drops,non-chronic medications
drg2341,MEDICUT CANNULAR 18G-GREEN,medical appliances/consumables
drg4911,VALSARTAN HCTZ 80 25MG1 TAB,chronic medication
drg4236,DEXAMETHASONE 8MG PER ML AMP,clinical pathology
drg1210,ARTHROGRATIS COMPLEX X30 CAPS,surgeries
drg1551,Citramin syrup,non-chronic medications
drg2620,OTRIVIN SPRAY ADULT 10ML,non-chronic medications
diag1096,Cystic Fibrosis Delta F508 - [Blood],clinical pathology
drg1857,ENCEPHABOL SYRUP 120MLS,chronic medication
pcd290,Open Ovarian Cystectomy - Unilateral,surgeries
drg2767,Puritan evening primerose 500mg * 100,non-chronic medications
diag720,Fungi M/C/S,clinical pathology
drg1413,CALAMINE LOTION 60Z,non-chronic medications
diag1574,Streptococcus group B Antigen detection - [CSF],clinical pathology
drg4836,TELMISARTAN HCT 40/12.5MG TABLET,chronic medication
diag2081,XRAY Retrograde Pyelography,advanced and complex investigations
drg1477,CEFTRIAZONE INJ (OTHER BRANDS) 1G,non-chronic medications
diag646,"AFB, smear examination by Fluorescent Microscopy -  [Any specimen ]",clinical pathology
med0115,PREVENAR 13 (PNEUMOCOCCAL CONJUGATE),immunizations
diag1680,Hepatitis B Virus Surface Antigen Spot Test  [Qualitative - Serum],selective health screening
diag1423,MICM By PCR Maternally Inherited Cardiomyopathy - [EDTA Blood],clinical pathology
drg2608,ORPHESIC Orphenadrine SATCHET/TAB,non-chronic medications
drg4148,CEFTRIAXONE 250MG INJ,non-chronic medications
drg2276,loratadine 10mg satchet(Afrab),non-chronic medications
diag880,Apolipoproteins E - [Serum],clinical pathology
drg4671,PARACETAMOL 300MG SUPPOSITORY,non-chronic medications
drg2618,OTRIVIN NASAL DROPS (ADULTS),non-chronic medications
med0168,OTRIVIN EYE DROP,non-chronic medications
out0140,NAIL ART USING 3D,selective health screening
med0153,DUOFEM TAB,non-chronic medications
diag046,CT Chest / Thorax,advanced and complex investigations
drg1116,AMLODIPINE SANDOZ 5MG * 30,chronic medication
drg2200,kunimed yeast tablet,non-chronic medications
diag230,Cholesterol-HDL -  [Serum],clinical pathology
diag298,Proteins -  [Ascitic fluid],clinical pathology
diag1852,Sono Follicular Study,ultrasound
pcd422,Radial Head Excision,surgeries
pcd593,Tendon Transfer - Opponensplasty,surgeries
drg4880,TRITANRIX,non-chronic medications
drg1985,FUNGUSOL PLUS LOTION,non-chronic medications
diag285,"Phosphorus - [urine, 24 hrs]",clinical pathology
diag859,Amino Levulinic Acid ALA - [Urine Spot],selective health screening
pcd366,Vitrectomy With Macular Hole Surgery,surgeries
drg3089,TREVIAMET 50MG/500MG,chronic medication
diag1100,D3 Hydroxy butarate Ranbut - [Serum],chronic medication
drg4198,CLOXACILLIN SYR 125MG 5ML,non-chronic medications
drg2391,MOKO BENZYL BENZOATE,non-chronic medications
drg5009,CLOPIXOL 200MG(ZUCLOPENTHIXOL200MG/AMP,chronic medication
drg1530,CHLORPROMAZINE INJ 50MG,non-chronic medications
drg2949,SOLOTONE TAB,non-chronic medications
drg2803,RANFERON 12 CAP,non-chronic medications
diag057,CT Enterography,advanced and complex investigations
drg2898,SALICYLIC ACID OINTMENT 50%,non-chronic medications
diag1098,Cystine Quantitative - [Serum],clinical pathology
cli0035,Anterior  /- Posterior Colporrhaphy (Including Primary Repair Of Enterocele),surgeries
drg4974,XYLOMEPHA NASAL SPRAY1 PIECE,non-chronic medications
pcd220,Bladder - Repair Of Rupture,surgeries
drg1763,DR MEYERS CALCIMAX SUSPEN,non-chronic medications
drg3133,UNIDEX-50 (50% DEXTROSE WATER),non-chronic medications
dent22233,dental gum treatment,dentistry
drg2199,KUNIMED YEAST POWDER,non-chronic medications
pcd413,Cubital Tunnel Release,surgeries
med0072,NEO-PENOTRAN FORTE,non-chronic medications
drg1203,ARTHEMETER INJECTION 40MG,non-chronic medications
med0421,Diclomax ( diclofenac) 50mg,chronic medication
sur0053,Combined Approach Tympanoplasty - Intact Canal Wall Tympanoplasty,surgeries
