Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
X-0007,X-RAY THORACOLUMBAR VERTEBRAE AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
MED0484,CO-MEPIRYL 2MG/1000MG,Chronic Medication,,,,,,,,,,,,,,
DRG4810,STREPTOMYCIN 5GM INJECTION,Non-Chronic Medications,,,,,,,,,,,,,,
SUR0067,Cryotherapy To Pituitary Gland,Cancer Care,,,,,,,,,,,,,,
MED0159,ZING C (VIT. C),Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1139,EBV(NA) -IgG Antibodies to Nuclear Antigen of Epstein Barr Virus (EBNA) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG530,Anti HAV - IgM Antibody to Hepatitis A Virus -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG2007,GENEVIN,Chronic Medication,,,,,,,,,,,,,,
DIAG841,Alpha 2 Macroglobulin [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG4464,Jawaclox drops 90mg/0.6ml,Non-Chronic Medications,,,,,,,,,,,,,,
PCD698,Sulcoplasty - With Skin Graft,Surgeries,,,,,,,,,,,,,,
DRG2322,MARCNOL 10/5MG TABS X30,Chronic Medication,,,,,,,,,,,,,,
SUR0138,REMOVAL OF FOREIGN BODY UNDER ANAESTHESIA,Surgeries,,,,,,,,,,,,,,
ADM0006,Accommodation - Four Bedded room,Accomodation,,,,,,,,,,,,,,
PCD76,Liver Lobectomy (Right Or Left),Surgeries,,,,,,,,,,,,,,
DRG1126,AMOKSIKLAV 312.5MG/5ML,Non-Chronic Medications,,,,,,,,,,,,,,
SUR0081,Destruction Of Branch Of Trigeminal Nerve (Neurolytic/Rf/Cryoprobe),Surgeries,,,,,,,,,,,,,,
DRG2774,PURITAN VIT E 400IU * 100,Non-Chronic Medications,,,,,,,,,,,,,,
PCD4089,CVF,Clinical Pathology,,,,,,,,,,,,,,
DRG1020,ACERID Rabeprazole 20mg X30,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG038,CT BRAIN  CERVICAL SPINE,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG3320,MIXTARD (INSULIN) 40IU/ML,Chronic Medication,,,,,,,,,,,,,,
DRG1670,DALACIN C 300MG CAPS X16,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2545,NUROFEN TAB 400mg X 12,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1151,Endomysial Antibody IgG antibody - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG1733,DIGOXIN 250MCG TABS X28,Chronic Medication,,,,,,,,,,,,,,
OUT0145,Endometrial cuttelage,Dentistry,,,,,,,,,,,,,,
DIAG730,Microscopy/ Culture and Sensitivity for Aerobic/ Anaerobic Bacteria [Any Sample],Clinical Pathology,,,,,,,,,,,,,,
OUT0008,ULTRASOUND THERAPY,Surgeries,,,,,,,,,,,,,,
DRG1202,ARTHEGET SYRUP (ACT ANTIMALARIAL,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1108,AMLODIPINE 10MG [pocco),Chronic Medication,,,,,,,,,,,,,,
DRG1160,ANOROL TABLET,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2615,OSTEOCARE PLUS,Non-Chronic Medications,,,,,,,,,,,,,,
MED0464,AMLODIPINE 10MG (POCCO),Chronic Medication,,,,,,,,,,,,,,
DRG5007,FLUNIL,Chronic Medication,,,,,,,,,,,,,,
PCD28,Haemorrhoidectomy Including Sigmoidoscopy,Surgeries,,,,,,,,,,,,,,
PCD36,Sigmoidoscopy Including Consultation,Surgeries,,,,,,,,,,,,,,
DRG2816,REKMAL ARTESUNATE 120MG INJECTION,Non-Chronic Medications,,,,,,,,,,,,,,
PCD4123,Exchange Blood Transfusion (Rh Ve Blood With Set),Emergency/Critical Care,,,,,,,,,,,,,,
PCD4124,Exchange Blood Transfusion (Rh -Ve Blood With Set),Emergency/Critical Care,,,,,,,,,,,,,,
DRG2136,Immun-Activ Vit c,Non-Chronic Medications,,,,,,,,,,,,,,
CLI0034,Anterior ( /- Posterior) Colporrhaphy With Vaginal Hysterectomy (Including Primary Repair Of Enterocele),Surgeries,,,,,,,,,,,,,,
DRG4995,ZOPICLONE 7.5 MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1941,FLEMING 1.2G INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1672,Coomb's test (Direct) or Direct antiglobulin test (DAT) -  [EDTA -Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG1275,AZATHIOPRINE 50MG *56 TILLOMED,Chronic Medication,,,,,,,,,,,,,,
DRG4541,Melatonin (Mason) 5mg x60,Non-Chronic Medications,,,,,,,,,,,,,,
MED0362,GLIMEPIRIDE 4MG GENERIC,Chronic Medication,,,,,,,,,,,,,,
DIAG1645,Y Chromosome Microdeletion Analysis 16 STS Markers (only for males) - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG2500,NILGAR 30MG PER SATCHET,Chronic Medication,,,,,,,,,,,,,,
CLI0119,CT POST NASAL SPACE,X-Rays and Contrast Studies,,,,,,,,,,,,,,
PCD363,Retinal Detachment Repair by Pneumatic Retinopexy,Surgeries,,,,,,,,,,,,,,
OPH0014,Foreign Body Removal-Superficial,Surgeries,,,,,,,,,,,,,,
PCD676,Removal Of Foreign Body From Antrum Via Alveolus,Surgeries,,,,,,,,,,,,,,
DIAG791,ACE-Angiotensin Converting Enzyme -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG181,Oesophago-gastro-duodenoscopy (OGD),Surgeries,,,,,,,,,,,,,,
DRG4386,HUMAN ALBUMIN 20MG INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
SUR0066,Creation Of Portocaval Shunt,Clinical Pathology,,,,,,,,,,,,,,
DRG4443,IPRATROPIUM 250MCG NEBULES,Chronic Medication,,,,,,,,,,,,,,
DRG2167,Jawaron tonic 100ml,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG915,Beta HCG  Quantitative,Clinical Pathology,,,,,,,,,,,,,,
PCD162,Biopsy of Tongue,Surgeries,,,,,,,,,,,,,,
SUR0083,"Diagnostic Arthroscopic Examination Of Shoulder Joint, With Or Without Biopsy (As Sole Procedure)",Surgeries,,,,,,,,,,,,,,
SUR0084,"Diagnostic Arthroscopic Examination Of Wrist Joint, With Or Without Biopsy (As Sole Procedure)",Surgeries,,,,,,,,,,,,,,
DRG1943,fleming 457 sus,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1358,BioSea cod liver oil 170ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1359,BioSea Cod Liver oil 220ml,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2671,PHARM EYE ANTIOXIDANT BLISTER * 360,Non-Chronic Medications,,,,,,,,,,,,,,
CONS054,Plastic Surgeon Review,Consultation Specialist,,,,,,,,,,,,,,
SUR0117,Recircumcision (Local),Neonatal Services,,,,,,,,,,,,,,
DRG4030,ALBENDAZOLE INJECTION 400MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1237,Hepatitis Delta virus(HDV) HDV-RNA detection by PCR - [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG790,ACE Angiotensin Converting Enzyme [CSF],Clinical Pathology,,,,,,,,,,,,,,
DRG1186,ARBITEL H 40/12.5MG * 30 TABS,Chronic Medication,,,,,,,,,,,,,,
DRG4369,HBV,HIV/AIDS Care and Treatment,,,,,,,,,,,,,,
DIAG1941,XRAY Both Hand (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
SUR0173,osteoclasis orif and bone grafting,Surgeries,,,,,,,,,,,,,,
SUR0174,osteoclasis orif and bone grafting,Surgeries,,,,,,,,,,,,,,
DRG3169,Virest 200mg,Non-Chronic Medications,,,,,,,,,,,,,,
SUR0027,Bony Meatoplasty,Surgeries,,,,,,,,,,,,,,
DIAG1072,CMV DNA detection by Real time PCR - [Urine],Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1616,Typhoid DNA By Real time PCR - [EDTA Blood],Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG4622,NICOSAN CHILD 150MG,Non-Chronic Medications,,,,,,,,,,,,,,
PCD350,Excision of Conjunctival Lesion with Cryotherapy,Cancer Care,,,,,,,,,,,,,,
DIAG082,CT Lower Abdomen and Pelvis,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1753,MRI Lower Abdomen and Pelvis,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1315,Immunofixation-quantitative - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG1945,FLEMING SUSPENSION 228,Accomodation,,,,,,,,,,,,,,
DRG2941,Clarithromyin Susp 250mg,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG465,Complex Biopsy  Fungi studies,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1215,Haptoglobin Genotype - [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
PCD586,Extensor Tendon Repair - Finger,Surgeries,,,,,,,,,,,,,,
PCD251,"Repair of Enterocele, Vaginal Approach",Surgeries,,,,,,,,,,,,,,
PCD585,Extensor Tendon Repair - Hand,Surgeries,,,,,,,,,,,,,,
DRG2624,OXYTOCIN INJ 10 UNIT,Non-Chronic Medications,,,,,,,,,,,,,,
OPT164,Vita Procin,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1313,Immunofixation-qualitative - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG2668,PERILON PREDINIZOLONE (SA,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1467,CASTOR OIL B.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2168,JAWARON TONIC 200ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1031,CD-MPO (Myeloid cell  marker) -  [EDTA Blood],Cancer Care,,,,,,,,,,,,,,
DIAG1370,Leptospira DNA detection by PCR - [Urine],Clinical Pathology,,,,,,,,,,,,,,
MED0089,CETiRIZINE 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1986,XRAY Finger AP View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1989,XRAY FOOT AP VIEW,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2000,XRAY Humerus Lat Oblique,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG037,CT Brain  Carotid Angiography,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG821,AFB-detection of DNA by Real time PCR [Urine],Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1790,Iron sucrose injection,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3126,ULGICID all flavour,Non-Chronic Medications,,,,,,,,,,,,,,
PCD4324,Surgery Of Complications Of Appendicitis,Surgeries,,,,,,,,,,,,,,
DRG2552,Ocefix 200mg tab,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG547,CK-MB (MB fraction of Creatinine Kinase) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
PCD470,Revision Hip Replacement - Acetabular Only,Surgeries,,,,,,,,,,,,,,
DIAG025,CT Abdomen and Pelvis Female,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG026,CT Abdomen and Pelvis Male,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG4922,VIAGRA 100MG SILDENAFIL,Chronic Medication,,,,,,,,,,,,,,
DIAG2006,XRAY Knee Skyline View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG820,AFB-detection of DNA by Real time PCR [Tissue],Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG2667,PERGLIM 4MG TABLETS (SACHET),Chronic Medication,,,,,,,,,,,,,,
DRG1083,AMATEM SOFTGEL BY 12,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1276,AZILIDE TABS 500MG BY 6,Clinical Pathology,,,,,,,,,,,,,,
DIAG1834,HMO Lung Function Test,Selective Health Screening,,,,,,,,,,,,,,
DIAG839,Alpha 1 Antitrypsin [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG718,Fungal Susceptibility and  MIC panel - 4 drugs (Automated) -  [Pure culture],Clinical Pathology,,,,,,,,,,,,,,
DIAG819,AFB-detection of DNA by Real time PCR [CSF],Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG816,Adrenaline (Epinephrine) [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DRG2537,NOVO TWIST NEEDLES (5MM),Chronic Medication,,,,,,,,,,,,,,
CONS058,Radiologist Review,Consultation Specialist,,,,,,,,,,,,,,
DIAG1990,X ray Foot AP View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
SUR0131,HIGH ABOVE KNEE POP,Surgeries,,,,,,,,,,,,,,
PCD300,Removal of Intrauterine Device IUCD,Family Planning Services,,,,,,,,,,,,,,
DIAG2121,XRAY Sacroiliac Joint AP View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
Ann0036,Asaba Airport Company Screening,Selective Health Screening,,,,,,,,,,,,,,
DRG4098,ATRACURIUM 50MG 5ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1727,MRI Brachial Plexus,Advanced And Complex Investigations,,,,,,,,,,,,,,
PCD677,Removal Of Foreign Body From Antrum Via Caldwell Luc,Surgeries,,,,,,,,,,,,,,
DRG2318,MANIX CAPSULES,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1070,CMV DNA detection by Real time PCR - [EDTA Plasma],Advanced and Complex Investigations,,,,,,,,,,,,,,
PCD202,Nephrectomy - Simple,Surgeries,,,,,,,,,,,,,,
PCD230,Meatoplasty (Urethra),Surgeries,,,,,,,,,,,,,,
DIAG1634,Vitamin C Ascorbic acid - [Heparin Plasma/Serum],Audiology,,,,,,,,,,,,,,
DRG2915,SERETIDE DISKUS 100MCG,Chronic Medication,,,,,,,,,,,,,,
DRG1273,Ayrtons Pure cod liver oil,Non-Chronic Medications,,,,,,,,,,,,,,
PCD361,Repair Of Detached Retina - Cryotherapy Or Diathermy,Cancer Care,,,,,,,,,,,,,,
DIAG1117,Dengue RNA detection by Real time PCR - [EDTA Plasma],Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG2291,LOSARTAN POTASSIUM 25MG (TEVA),Chronic Medication,,,,,,,,,,,,,,
MED0359,GLIMEPIRIDE 8MG GENERIC,Chronic Medication,,,,,,,,,,,,,,
DRG2778,PURITANS PRIDE ZINC 50MG X100,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG868,Anti HDV-Total antibodies to Hepatitis Delta Virus -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG2202,LABET 200 ( LABETOLOL 200MG) X 30 satchet,Chronic Medication,,,,,,,,,,,,,,
DIAG1262,HIV-2 RNA detection by real time PCR -[EDTA Plasma],Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG2771,Puritan pride VitC 1000MG X100,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG290,POST COITAL TEST,Infertility Treatment-Investigations,,,,,,,,,,,,,,
DIAG818,AFB-detection of DNA by Real time PCR [Body Fluid],Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG1180,APROVEL 150mg per satchet,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2828,TUXILD SYR CHILD,Non-Chronic Medications,,,,,,,,,,,,,,
CON123,PULMUNOLOGIST,Consultation Specialist,,,,,,,,,,,,,,
PCD8,Core biopsy of breast,Surgeries,,,,,,,,,,,,,,
DRG1357,BIOSEA COD LIVER OIL 120ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2093,XRAY Right Hand (AP),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2094,XRAY Right Hand (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DENT116,Splinting with Composite ( Per Tooth),Dentistry,,,,,,,,,,,,,,
DRG4694,PHENYRAMIDOL HCL TABLET 400MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2463,Naturesfield vitamin B complex x 100,Non-Chronic Medications,,,,,,,,,,,,,,
MED0226,ARTESUNATE INJECTION 30MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2020,XRAY Left Hand (AP),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2021,XRAY Left Hand (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG2836,RELOPOIETIN 4000 I.U INJECTION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1944,Fleming 457mg/5ml suspension,Accomodation,,,,,,,,,,,,,,
DRG4162,CHLORPROMAZINE 25MG TABLET,Chronic Medication,,,,,,,,,,,,,,
MED0510,METHYLDOPA 250MG (KETTA),Chronic Medication,,,,,,,,,,,,,,
DRG4303,Febuxostat (Febo-G) 80mg x20,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG529,AFP-Alpha Feto Protein -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DRG1211,ARTHROTEC (DICLOFENAC and MISOPROSTOL),Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1957,XRAY Calcaneus AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1360,BIOWELL VIT C CHEWABLE X60,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1294,HSV-Herpes Simplex Virus DNA detector by real time PCR,Advanced and Complex Investigations,,,,,,,,,,,,,,
PCD627,Femoral Endarterectomy with Patch Closure,Surgeries,,,,,,,,,,,,,,
DRG1369,BLUESEA COD LIVER OIL CAPS 300MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1535,"Rubella (German Measles), Avidity test -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG024,CT Abdomen and Pelvis - Specialized Procedure,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1105,Amlodipine 10mg (Almus),Chronic Medication,,,,,,,,,,,,,,
DRG2447,Nature field Vit C1000mg X100,Non-Chronic Medications,,,,,,,,,,,,,,
PCD203,Nephrectomy - Partial,Surgeries,,,,,,,,,,,,,,
PCD204,Nephrectomy - Radical,Surgeries,,,,,,,,,,,,,,
PCD282,Twin Delivery- Normal delivery,Maternity,,,,,,,,,,,,,,
PCD602,Proximal Row Carpectomy removal of bones,Surgeries,,,,,,,,,,,,,,
SUR0064,Creation Of Arteriovenous Shunt (Synthetic Graft),Clinical Pathology,,,,,,,,,,,,,,
DRG1815,EM-VIT C CHEWABLE SATCHET,Non-Chronic Medications,,,,,,,,,,,,,,
PCD259,Cone Biopsy with Laser Ablation of the Cervix,Surgeries,,,,,,,,,,,,,,
DRG2462,NATURES FIELD ZINC 50MG X 100,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG483,Manual Removal of Placenta/Foetus,Maternity,,,,,,,,,,,,,,
DIAG527,AFP-Alpha Feto Protein -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
MED0333,Dazel Kit-Azithromycin 1g. Fluconazole 150mg,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1369,Leptospira DNA detection by PCR-  [EDTA Blood],Clinical Pathology,,,,,,,,,,,,,,
PCD398,Complex Midfoot Correction - Unilateral,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2222,LDNIL 5 (ROSUVASTATIN 5MG),Chronic Medication,,,,,,,,,,,,,,
DIAG1767,MRI Sacro iliac joints,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG354,Heroin,Clinical Pathology,,,,,,,,,,,,,,
DRG1111,AMLODIPINE 5MG [pocco],Chronic Medication,,,,,,,,,,,,,,
DRG1113,amlodipine 5mg milpharm,Chronic Medication,,,,,,,,,,,,,,
DRG1912,FANSIDAR SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2004,Gaviscon syrup,Non-Chronic Medications,,,,,,,,,,,,,,
MED0465,AMLODIPINE 5MG (PHARMAMAX),Chronic Medication,,,,,,,,,,,,,,
DIAG1316,Immunofixation-quantitative - [Urine 24H],Clinical Pathology,,,,,,,,,,,,,,
PCD38,Sigmoidoscopy And Anal Fistula,Surgeries,,,,,,,,,,,,,,
SUR0065,Creation Of Peritoneo-Venous Shunt (Levine/Denver),Clinical Pathology,,,,,,,,,,,,,,
PCD467,Total Hip Joint Replacement,Surgeries,,,,,,,,,,,,,,
DIAG1238,Hepatitis G Vius(HGV) HGV-RNA detection by PCR - [EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DENT122,Anterior Jecket Crown (AJC),Dentistry,,,,,,,,,,,,,,
PCD534,Removal Of External Fixation From Bone,Surgeries,,,,,,,,,,,,,,
DIAG029,CT ANGIO - ABDOMINAL AORTA AND RUN OFF VESSEL,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1842,EMZOR VIT C BY100 WHITE,Non-Chronic Medications,,,,,,,,,,,,,,
MED0366,SITAGLIPTIN 50MG GENERIC,Chronic Medication,,,,,,,,,,,,,,
DIAG1074,CMV-DNA Viral load (Quantitative test) -  [EDTA-Plasma],Clinical Pathology,,,,,,,,,,,,,,
DRG2909,SELSUN SHAMPOO 100ML,Non-Chronic Medications,,,,,,,,,,,,,,
PCD142,Endo Venous Laser Ablation of Varicose Veins,Surgeries,,,,,,,,,,,,,,
DIAG1144,EGFR gene amplification FISH probe for EGFR Tumor Positive - [Tissue],Dentistry,,,,,,,,,,,,,,
MED0076,CLINDAMYCIN SUSPENSION,Non-Chronic Medications,,,,,,,,,,,,,,
CLI0100,HIV-2 Viral Load by real time PCR -[EDTA Plasma],Clinical Pathology,,,,,,,,,,,,,,
DIAG494,Histopathology - Complex specimen(s) - [Tissue],Non-Chronic Medications,,,,,,,,,,,,,,
DRG1256,AUGMENTIN 228MG/5ML SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
OPT139,Slit Lamp Examination,Ophthalmic care,,,,,,,,,,,,,,
DIAG1396,Lysine Quantitative - [Urine],Clinical Pathology,,,,,,,,,,,,,,
DRG4383,HOVID LORATYN LORATADINE 10MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG065,CT Hand,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG4414,IBUPROFEN 100MG 5ML SUSP,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1077,Cold Agglutinin - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1286,Homogentisic Acid Alkaptonuria - [Urine],Clinical Pathology,,,,,,,,,,,,,,
SUR0022,Biopsy Of Peripheral Nerve,Surgeries,,,,,,,,,,,,,,
DIAG760,Throat Swab for  M/C/S,Clinical Pathology,,,,,,,,,,,,,,
DRG1891,ETOVIT CAPGEL 200MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1959,FLUCAMED EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2768,PURITAN GARLIC 1000mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3221,WELLKID OMEGA-3,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3226,wellman  omega 3,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2665,PERFECTIL Triple Active,Physiotherapy,,,,,,,,,,,,,,
DRG1429,calgovit vit c for kids 80g,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1158,ANGIZAAR-50 SACHET,Chronic Medication,,,,,,,,,,,,,,
SUR0118,Recircumcision   (G. A),Neonatal Services,,,,,,,,,,,,,,
OUT0074,FILLERS (CHARGE PER ML),Clinical Pathology,,,,,,,,,,,,,,
DIAG2115,XRAY Right Tibia and Fibula LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG2481,NEUROGESIC EXTRA B/S 35gm,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2482,NEUROGESIC EXTRA s/s 25MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1461,Organic Acids Quantitative(Random Urine),Clinical Pathology,,,,,,,,,,,,,,
DRG2448,NATURE FIELD vitamin B-12,Non-Chronic Medications,,,,,,,,,,,,,,
PCD4408,Appendicectomy Complicated ruptured,Surgeries,,,,,,,,,,,,,,
DRG2398,MOKO METHYLATED SPIRIT,Non-Chronic Medications,,,,,,,,,,,,,,
OUT0081,STEAM BATH ALONE,Spa Session,,,,,,,,,,,,,,
PCD802,Exchange blood transfusion - babies,Emergency/Critical Care,,,,,,,,,,,,,,
DIAG2103,XRAY Right Knee (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2008,XRAY Left  Knee (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
MED0567,"IPRATROBIUM NEBULES 2,5MG",Chronic Medication,,,,,,,,,,,,,,
SUR0063,Creation Of Arteriovenous Fistula (Including Subsequent Closure),Clinical Pathology,,,,,,,,,,,,,,
DRG3182,VITAMIN B COMPLEX * 100 (DR MEYER),Non-Chronic Medications,,,,,,,,,,,,,,
PCD754,Maze Procedure - Thoracoscopic (Limited),Surgeries,,,,,,,,,,,,,,
DRG2480,NEUROGESIC CREAM 35g S/S,Non-Chronic Medications,,,,,,,,,,,,,,
OPT06,Anti Reflective on white plastic,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG2477,Neuracalm caps 75mg per sachet,Non-Chronic Medications,,,,,,,,,,,,,,
PCD633,Common femoral Endarterectomy/Profundoplasty/- femoral angioplasty,Surgeries,,,,,,,,,,,,,,
DIAG094,CT Para Nasal Sinuses (Limited),Advanced And Complex Investigations,,,,,,,,,,,,,,
PCD368,Macular Hole Eye Surgery,Surgeries,,,,,,,,,,,,,,
DRG2575,OMEGA-H3 Blue per sach,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2588,OPFEN DICLOFENAC EYE,Chronic Medication,,,,,,,,,,,,,,
DRG1048,Africure cod liver oil 1000 satchet,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1820,Emvite Multivitamin drops,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4100,ATS 10000 IU ANTI TETANUS,Selective Health Screening,,,,,,,,,,,,,,
DRG4101,ATS 1500 IU ANTI TETANUS,Selective Health Screening,,,,,,,,,,,,,,
DIAG242,eGFR -  Estimated Glomerular Filtration Rate –[Serum],Surgeries,,,,,,,,,,,,,,
MED0297,FINGER BRACE/SUPPORT,Clinical Pathology,,,,,,,,,,,,,,
MED0230,Malathion,Clinical Pathology,,,,,,,,,,,,,,
DRG2221,LDNIL 20 (ROSUVASTATIN) *30,Chronic Medication,,,,,,,,,,,,,,
DIAG338,Alcohol Test (Ethanol),Clinical Pathology,,,,,,,,,,,,,,
OPT165,Vita Tears,Non-Chronic Medications,,,,,,,,,,,,,,
OPT94,Ivy Betaneocine Eye Drop,Chronic Medication,,,,,,,,,,,,,,
OPT97,Ivy Zine Eye Drop,Chronic Medication,,,,,,,,,,,,,,
OPT98,Ivy Zotan Eye Drop,Chronic Medication,,,,,,,,,,,,,,
DRG4348,Gabapentin/Methylcobalamine(Agaba) 300/5,Chronic Medication,,,,,,,,,,,,,,
PCD229,Urethroplasty - Stage 1,Surgeries,,,,,,,,,,,,,,
PCD266,Hysteroscopy And Removal Of Endometrial Polyp With DandC,Surgeries,,,,,,,,,,,,,,
DRG2342,MEDICUT CANNULAR 20G-PINK,Medical Appliances/Consumables,,,,,,,,,,,,,,
DIAG1681,Hepatitis E Virus Antibodies (Screening),Clinical Pathology,,,,,,,,,,,,,,
DRG4309,FENTANYL INJECTION 50MG PER 1ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1095,"Cystic Fibrosis 5 mutations (Df508, G542X, G551D, R553X, 5T) - [EDTA Blood]",Clinical Pathology,,,,,,,,,,,,,,
DIAG097,CT Peripheral Angiography - Upper Extremity,Advanced And Complex Investigations,,,,,,,,,,,,,,
DENT75,Full / All Ceramic Crown,Selective Health Screening,,,,,,,,,,,,,,
